formula	dielectric_constant	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Acp	Bcp	Ccp	Dcp	Amac	Bmac	Cmac	Dmac	Aap	Bap	Cap	Dap
(Nd0.5Na0.5)TiO3	98	0.1	0.1	0.2	0.6	12	12	6	2	1.35	1.16	0.605	1.35	3.19	2.7	3.8	0	252	95.3	571	36.6	9.38	11.8	4.49	0.54
Pb0.6Ca0.4ZrO3	94	0.12	0.08	0.2	0.6	12	12	6	2	1.49	1	0.72	1.35	4.1	2.55	3.45	0	579	468	419	36.6	4.16	6.22	4.63	0.54
Pb0.6Ca0.4ZrO3	94	0.12	0.08	0.2	0.6	12	12	6	2	1.49	1	0.72	1.35	4.1	2.55	3.45	0	579	468	419	36.6	4.16	6.22	4.63	0.54
(Li0.5Pr0.5)TiO3	92	0.1	0.1	0.2	0.6	12	12	6	2	0.92	0.99	0.605	1.35	2.85	3.19	3.8	0	1.96	236	571	36.6	9.1	9.92	4.49	0.54
Li0.2Nd0.6TiO3	88	0.04	0.12	0.21	0.62	12	12	6	2	0.92	0.983	0.605	1.35	2.85	3.19	3.8	0	1.96	252	571	36.6	9.1	9.38	4.49	0.54
BaPr2Ti5O14	84	0.05	0.09	0.23	0.64	12	12	6	2	1.35	0.99	0.605	1.35	2.32	3.19	3.8	0	461	236	571	36.6	11.07	9.92	4.49	0.54
Ba4La4Ti7O24	82.2	0.1	0.1	0.18	0.62	12	12	6	2	1.35	1.032	0.605	1.35	2.32	3.17	3.8	0	461	202	571	36.6	11.07	8.68	4.49	0.54
(Sm0.5Na0.5Ti)O3	80	0.1	0.1	0.2	0.6	12	12	6	2	1.24	1.16	0.605	1.35	3.2	2.7	3.8	0	284	95.3	571	36.6	8.62	11.8	4.49	0.54
(La0.44Sr0.33)TiO3	80	0.09	0.07	0.21	0.63	12	12	6	2	1.36	1.18	0.605	1.35	3.17	2.4	3.8	0	202	373	571	36.6	8.68	7.6	4.49	0.54
(Li0.5Nd0.5)TiO3	80	0.1	0.1	0.2	0.6	12	12	6	2	0.92	0.983	0.605	1.35	2.85	3.19	3.8	0	1.96	252	571	36.6	9.1	9.38	4.49	0.54
Ca(Zr0.6Ti0.4)O3	78	0.2	0.12	0.08	0.6	12	6	6	2	1.4	0.86	6.61	1.35	2.55	3.45	3.8	0	468	419	571	36.6	6.22	4.63	4.49	0.54
Li0.5Nd0.5TiO3	75	0.1	0.1	0.2	0.6	12	12	6	2	0.92	0.983	0.605	1.35	2.85	3.19	3.8	0	1.96	252	571	36.6	9.1	9.38	4.49	0.54
Ni0.15Nb0.3Ti0.55O2	75	0.05	0.1	0.18	0.67	12	12	6	2	0.69	0.72	0.605	1.35	5.2	4.05	3.8	0	144	441	571	36.6	3.12	4.45	4.49	0.54
BaGa0.08Ti0.92O2.96	74	0.2	0.02	0.19	0.6	12	6	6	2	1.24	4.84	6.61	1.35	2.32	4.1	3.8	0	461	212	571	36.6	11.07	4.47	4.49	0.54
Pb0.5Ca0.5ZrO3	74	0.1	0.1	0.2	0.6	12	12	6	2	1.49	1	0.72	1.35	4.1	2.55	3.45	0	579	468	419	36.6	4.16	6.22	4.63	0.54
Cu0.5Ti0.5NbO4	71.2	0.08	0.08	0.17	0.67	6	6	6	2	0.73	0.605	0.64	1.35	4.45	3.8	4.05	0	166	571	441	36.6	3.01	4.49	4.45	0.54
Co0.5Ti0.5NbO4	64	0.08	0.08	0.17	0.67	6	6	6	2	0.65	0.605	0.64	1.35	5.1	3.8	4.05	0	125	571	441	36.6	3.01	4.49	4.45	0.54
Pb2Ta1.5Nb0.5O7	64	0.18	0.14	0.05	0.64	6	6	6	2	1.19	0.68	0.64	1.35	4.1	4.05	4.05	0	579	444	441	36.6	4.16	2.47	4.45	0.54
Nd0.5Ti0.5NbO4	60.6	0.08	0.08	0.17	0.67	6	6	6	2	1.29	0.605	0.64	1.35	3.19	3.8	4.05	0	252	571	441	36.6	9.38	4.49	4.45	0.54
Ba(Ti0.85Mn0.15)O3	60	0.2	0.17	0.03	0.6	12	6	6	2	1.24	6.61	7.55	1.35	2.32	3.8	4.45	0	461	571	93	36.6	11.07	4.49	3.48	0.54
Ni0.5Ti0.5NbO4	56.8	0.08	0.08	0.17	0.67	6	6	6	2	0.69	0.605	0.64	1.35	5.2	3.8	4.05	0	144	571	441	36.6	3.12	4.49	4.45	0.54
(Zn0.33Ta0.67)0.7Ti0.3O2	55.3	0.08	0.16	0.1	0.67	6	6	6	2	0.74	0.923	0.605	1.35	4.1	4.05	3.8	0	189	444	571	36.6	2.24	2.47	4.49	0.54
Ba3Ti4Nb4O21	55	0.09	0.12	0.12	0.66	12	6	6	2	1.61	0.605	0.64	1.35	2.32	3.8	4.05	0	461	571	441	36.6	11.07	4.49	4.45	0.54
CeTiNbO6	54	0.11	0.11	0.11	0.67	8	6	6	2	1.143	0.745	0.64	1.35	3.18	3.8	4.05	0	219	571	441	36.6	10.35	4.49	4.45	0.54
PrTiNbO6	53	0.11	0.11	0.11	0.67	6	6	6	2	0.99	0.605	0.64	1.35	3.19	3.8	4.05	0	236	571	441	36.6	9.92	4.49	4.45	0.54
(Li0.5Sm0.5)TiO3	52	0.1	0.1	0.2	0.6	12	12	6	2	0.92	0.958	0.605	1.35	2.85	3.2	3.8	0	1.96	284	571	36.6	9.1	8.62	4.49	0.54
NdTiNbO6	52	0.11	0.11	0.11	0.67	6	6	6	2	0.983	0.605	0.64	1.35	3.19	3.8	4.05	0	252	571	441	36.6	9.38	4.49	4.45	0.54
Bi2(Zn0.33Ta0.67)2O7	51.8	0.18	0.06	0.12	0.64	6	4	4	2	1.06	0.6	0.64	1.35	4.15	4.1	4.05	0	596	189	444	36.6	4.04	2.24	2.47	0.54
Ba3Sr2Nb4O15	51	0.12	0.08	0.17	0.62	12	12	6	2	1.61	1.44	0.64	1.35	2.32	2.4	4.05	0	461	373	441	36.6	11.07	7.6	4.45	0.54
Ba2Sr3Nb4O15	50	0.08	0.12	0.17	0.62	12	12	6	2	1.61	1.44	0.64	1.35	2.32	2.4	4.05	0	461	373	441	36.6	11.07	7.6	4.45	0.54
Ca(Zr0.8Ti0.2)O3	49	0.2	0.16	0.04	0.6	12	6	6	2	1.4	0.86	6.61	1.35	2.55	3.45	3.8	0	468	419	571	36.6	6.22	4.63	4.49	0.54
Ca2Zn4Ti16O38	48.4	0.03	0.07	0.27	0.63	12	6	7.5	2	1.34	0.74	0.605	1.35	2.55	4.1	3.8	0	468	189	571	36.6	6.22	2.24	4.49	0.54
Ba4SrNb4O15	48	0.17	0.04	0.17	0.62	12	12	6	2	1.61	1.44	0.64	1.35	2.32	2.4	4.05	0	461	373	441	36.6	11.07	7.6	4.45	0.54
Ba3Ti4Ta4O21	48	0.09	0.12	0.12	0.66	13	6	6	2	1.61	0.745	0.64	1.35	2.32	3.8	4.05	0	461	571	444	36.6	11.07	4.49	2.47	0.54
TiFeNbO6	47.2	0.11	0.11	0.11	0.67	6	6	6	2	0.605	0.55	0.64	1.35	3.8	4.93	4.05	0	571	108	441	36.6	4.49	3.07	4.45	0.54
Ba2La4Ti5O18	46	0.07	0.14	0.17	0.62	12	12	6	2	1.61	1.36	0.605	1.35	2.32	3.17	3.8	0	461	202	571	36.6	11.07	8.68	4.49	0.54
CeTiTaO6	46	0.11	0.11	0.11	0.67	9	6	6	2	1.196	0.745	0.64	1.35	3.18	3.8	4.05	0	219	571	444	36.6	10.35	4.49	2.47	0.54
La3Ti2TaO11	46	0.18	0.12	0.06	0.65	4.5	4	4	2	1.032	0.42	0.64	1.35	3.17	3.8	4.05	0	202	571	444	36.6	8.68	4.49	2.47	0.54
