formula	Qf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Air	Bir	Cir	Dir	Aap	Bap	Cap	Dap	Aen	Ben	Cen	Den	Amac	Bmac	Cmac	Dmac	Aaw	Baw	Caw	Daw	Aym	Bym	Cym	Dym	Ame	Bme	Cme	Dme	eps
BaCu(B2O5)	50000	0.11	0.11	0.22	0.56	11	6	3	2	1.57	0.73	0.01	1.35	11.07	3.01	1.51	0.54	2.4	4.48	4.29	7.54	461	166	7.38	36.6	137.327	63.546	10.811	15.999	12.8	129.8	0	0	7.8	13	23.6	0.444	7.3
(Ti0.8Sn0.2)Te3O8	22000	0.07	0.02	0.25	0.67	6	6	12	2	0.86	0.83	1.11	1.35	4.49	3.02	2.22	0.54	3.45	4.3	5.49	7.54	571	662	707	36.6	47.88	118.71	127.6	15.999	120.2	49.9	47.1	0	18.8	7.07	34.98	0.444	41
Bi2(Zn0.33Ta0.67)2O7	2600	0.18	0.06	0.12	0.64	6	4	4	2	1.06	0.6	0.64	1.35	4.04	2.24	2.47	0.54	4.69	4.45	4.11	7.54	596	189	444	36.6	208.98	65.39	180.948	15.999	34	104.5	185.7	0	10.9	7.28	24.7	0.444	51.8
Ba6Ta4TiO18	27500	0.21	0.14	0.03	0.62	12	6	6	2	1.61	0.923	0.605	1.35	11.07	2.47	4.49	0.54	2.4	4.11	3.45	7.54	461	444	571	36.6	137.327	180.948	47.88	15.999	12.8	185.7	120.2	0	7.8	24.7	18.8	0.444	27
Zn0.5Mg0.5Nb2O6	33100	0.06	0.06	0.22	0.67	12	6	6	2	0.9	0.86	10.42	1.35	2.24	3.18	4.45	0.54	4.45	8.3	4	7.54	189	121	441	36.6	65.39	24.305	92.906	15.999	104.5	44.7	104.9	0	7.28	8.9	26.8	0.444	22
Li2ZnTi3O8	72000	0.14	0.07	0.21	0.57	6.5	6	7	2	0.76	0.74	0.605	1.35	9.1	2.24	4.49	0.54	3.01	4.45	3.45	7.54	1.96	189	571	36.6	6.941	65.39	47.88	15.999	4.9	104.5	120.2	0	2.93	7.28	18.8	0.444	25.6
Li3AlB2O6	12460	0.25	0.08	0.17	0.5	4	4	3	2	0.59	0.39	0.27	1.35	9.1	5.23	1.51	0.54	3.01	3.23	4.29	7.54	1.96	152	7.38	36.6	6.941	26.982	10.811	15.999	4.9	70.6	0	0	2.93	10.5	23.6	0.444	4.2
Nd(Mg0.5Sn0.5)O3	43300	0.2	0.1	0.1	0.6	12	6	6	2	1.29	0.86	5.8	1.35	9.38	3.18	3.02	0.54	3	8.3	4.3	7.54	252	121	662	36.6	144.24	24.305	118.71	15.999	41.4	44.7	49.9	0	7.1	8.9	7.07	0.444	19.3
Nd2BaZnO5	12451	0.22	0.11	0.11	0.56	12	6	6	2	1.29	1.48	2.7	1.35	9.38	11.07	2.24	0.54	3	2.4	4.45	7.54	252	461	189	36.6	144.24	137.327	65.39	15.999	41.4	12.8	104.5	0	7.1	7.8	7.28	0.444	22.6
Ca0.8Sr0.2SnO3	6700	0.16	0.04	0.2	0.6	12	12	6	2	1.34	1.18	0.69	1.35	6.22	7.6	3.02	0.54	2.2	2	4.3	7.54	468	373	662	36.6	40.078	87.62	118.71	15.999	19.6	15.7	49.9	0	8.6	8.2	7.07	0.444	8.5
Ca(In0.5Ta0.5)O3	16700	0.2	0.1	0.1	0.6	12	6	6	2	1.4	3.75	7.81	1.35	6.22	5.01	2.47	0.54	2.2	3.1	4.11	7.54	468	638	444	36.6	40.078	114.82	180.948	15.999	19.6	10.6	185.7	0	8.6	3.26	24.7	0.444	24
Mg0.93Ca0.07TiO3	68550	0.19	0.01	0.2	0.6	12	6	6	2	1.1	2	6.61	1.35	3.18	6.22	4.49	0.54	8.3	2.2	3.45	7.54	121	468	571	36.6	24.305	40.078	47.88	15.999	44.7	19.6	120.2	0	8.9	8.6	18.8	0.444	22.2
YTiNbO6	8820	0.11	0.11	0.11	0.67	12	6	6	2	1.075	0.745	10.42	1.35	5.57	4.49	4.45	0.54	3.19	3.45	4	7.54	396	571	441	36.6	88.906	47.88	92.906	15.999	66.3	120.2	104.9	0	11.5	18.8	26.8	0.444	19
Yb2BaNiO5	44600	0.22	0.11	0.11	0.56	10	7	6	2	1.042	1.38	0.83	1.35	7.26	11.07	3.12	0.54	3.5	2.4	4.4	7.54	401	461	144	36.6	173.04	137.327	58.69	15.999	23.9	12.8	199.5	0	9.2	7.8	17.2	0.444	9.1
