formula	tf	Ax	Bx	Cx	Dx	Acn	Bcn	Ccn	Dcn	Av	Bv	Cv	Dv	Air	Bir	Cir	Dir	Aav	Bav	Cav	Dav	Aced	Bced	Cced	Dced	Acp	Bcp	Ccp	Dcp eps
Ba4.8Nd8.8Ti18O54	97.4	0.06	0.1	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.983	0.605	1.35	6.299	3.418	1.764	1.736	1.44	1.17	0.91	0.85	2.32	3.19	3.8	0	87.7
Ba4.5Nd9Ti18O54	85.02	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.983	0.605	1.35	6.299	3.418	1.764	1.736	1.44	1.17	0.91	0.85	2.32	3.19	3.8	0	86.1
Ba4.2Nd9.2Ti18O54	76	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.983	0.605	1.35	6.299	3.418	1.764	1.736	1.44	1.17	0.91	0.85	2.32	3.19	3.8	0	88
Nd0.5Ti0.5NbO4	76	0.08	0.08	0.17	0.67	6	6	6	2	2	4	5	-2	1.29	0.605	0.64	1.35	3.418	1.764	1.807	1.736	1.17	0.91	0.95	0.85	3.19	3.8	4.05	0	60.6
Ba4Nd9.33Ti18O54	71	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.983	0.605	1.35	6.299	3.418	1.764	1.736	1.44	1.17	0.91	0.85	2.32	3.19	3.8	0	82.5
Ba3.9Nd9.4Ti18O54	67.07	0.05	0.11	0.21	0.63	12	12	6	2	2	3	4	-2	1.35	0.983	0.605	1.35	6.299	3.418	1.764	1.736	1.44	1.17	0.91	0.85	2.32	3.19	3.8	0	87.1
Cu0.5Ti0.5NbO4	49	0.08	0.08	0.17	0.67	6	6	6	2	2	4	5	-2	0.73	0.605	0.64	1.35	1.181	1.764	1.807	1.736	1.12	0.91	0.95	0.85	4.45	3.8	4.05	0	71.2
Ba3Ti4Ta4O21	48	0.09	0.12	0.12	0.66	13	6	6	2	2	4	5	-2	1.61	0.745	0.64	1.35	6.299	1.764	1.801	1.736	1.44	0.91	0.95	0.85	2.32	3.8	4.05	0	48
Ba8Ta6ZnO24	40	0.21	0.15	0.03	0.62	12	6	6	2	2	5	2	-2	1.24	0.78	2.7	1.35	6.299	1.801	1.521	1.736	1.44	0.95	1.25	0.85	2.32	4.05	4.1	0	28.9
Ba(Mn0.33Ta0.67)O3	34	0.2	0.07	0.13	0.6	12	6	6	2	2	5	3	-2	1.24	0.47	7.81	1.35	6.299	1.22	1.801	1.736	1.44	0.79	0.95	0.85	2.32	4.45	4.05	0	32
Ba8Ta6NiO24	33	0.21	0.15	0.03	0.62	12	6	6	2	2	5	2	-2	1.24	0.78	2.9	1.35	6.299	1.801	1.093	1.736	1.44	0.95	1.13	0.85	2.32	4.05	5.2	0	27.5
Ba11Nb8TiO33	33	0.21	0.15	0.02	0.62	12	6	6	2	2	5	4	-2	1.61	0.64	0.605	1.35	6.299	1.807	1.764	1.736	1.44	0.95	0.91	0.85	2.32	4.05	3.8	0	43.5
Ba8Nb4Ti3O24	33	0.21	0.1	0.08	0.62	12	6	6	2	2	5	4	-2	1.61	0.64	0.605	1.35	6.299	1.807	1.764	1.736	1.44	0.95	0.91	0.85	2.32	4.05	3.8	0	44.1
Sr5NbTa3O15	31	0.21	0.04	0.12	0.62	12	6	6	2	2	5	5	-2	1.58	0.64	0.64	1.35	5.632	1.807	1.801	1.736	1.39	0.95	0.95	0.85	2.4	4.05	4.05	0	36.2
Ba2Ti3Nb4O18	30	0.07	0.11	0.15	0.67	12	6	6	2	2	4	5	-2	1.61	0.745	0.64	1.35	6.299	1.764	1.807	1.736	1.44	0.91	0.95	0.85	2.32	3.8	4.05	0	38
(Zn0.33Ta0.67)0.7Ti0.3O2	30	0.08	0.16	0.1	0.67	6	6	6	2	2	5	4	-2	0.74	0.923	0.605	1.35	1.521	1.801	1.764	1.736	1.25	0.95	0.91	0.85	4.1	4.05	3.8	0	55.3
Pb0.65Ca.35ZrO3	29	0.13	0.07	0.2	0.6	12	12	6	2	2	2	4	-2	1.49	1	0.72	1.35	3.034	4.633	2.328	1.736	1.43	1.25	0.98	0.85	4.1	2.55	3.45	0	118
Sr6Nb4TiO18	26	0.21	0.14	0.03	0.62	12	6	6	2	2	5	4	-2	1.58	0.64	0.605	1.35	5.632	1.807	1.764	1.736	1.39	0.95	0.91	0.85	2.4	4.05	3.8	0	43
