formula	Qf	Ax	Bx	Cx	Acn	Bcn	Ccn	Air	Bir	Cir	Aap	Bap	Cap	Aen	Ben	Cen	Amac	Bmac	Cmac	Aaw	Baw	Caw	Aym	Bym	Cym	Ame	Bme	Cme	DK
LaGaO3	97000	0.2	0.2	0.6	10	6	2	1.27	0.76	1.35	8.68	4.47	0.54	3.1	3.2	7.54	202	212	36.6	138.906	69.723	15.999	37.9	9.8	0	10	5.59	0.444	27
Li2MnO3	97000	0.33	0.17	0.5	6	6	2	0.76	0.53	1.35	9.1	3.48	0.54	3.01	3.72	7.54	1.96	93	36.6	6.941	54.938	15.999	4.9	191	0	2.93	13.4	0.444	13.6
ZnGa2O4	94600	0.14	0.29	0.57	4	6	2	0.6	0.62	1.35	2.24	4.47	0.54	4.45	3.2	7.54	189	212	36.6	65.39	69.723	15.999	104.5	9.8	0	7.28	5.59	0.444	10.4
MgNb2O6	93800	0.11	0.22	0.67	6	7	2	0.72	0.69	1.35	3.18	4.45	0.54	8.3	4	7.54	121	441	36.6	24.305	92.906	15.999	44.7	104.9	0	8.9	26.8	0.444	21.4
ZnTa2O6	87580	0.11	0.22	0.67	6	8	2	0.74	0.74	1.35	2.24	2.47	0.54	4.45	4.11	7.54	189	444	36.6	65.39	180.948	15.999	104.5	185.7	0	7.28	24.7	0.444	30.3
NdGaO3	85000	0.2	0.2	0.6	9	6	2	1.163	0.76	1.35	9.38	4.47	0.54	3	3.2	7.54	252	212	36.6	144.24	69.723	15.999	41.4	9.8	0	7.1	5.59	0.444	22
ZnNb2O6	84500	0.11	0.22	0.67	6	6	2	0.74	0.64	1.35	2.24	4.45	0.54	4.45	4	7.54	189	441	36.6	65.39	92.906	15.999	104.5	104.9	0	7.28	26.8	0.444	21.5
Zn3Nb2O8	83300	0.23	0.15	0.62	6	6	2	0.74	0.64	1.35	2.24	4.45	0.54	4.45	4	7.54	189	441	36.6	65.39	92.906	15.999	104.5	104.9	0	7.28	26.8	0.444	21
CoNb2O6	81000	0.11	0.22	0.67	6	7	2	0.7	0.69	1.35	3.01	4.45	0.54	4.3	4	7.54	125	441	36.6	58.933	92.906	15.999	211	104.9	0	16.3	26.8	0.444	20.5
Nd2Mo3O12	80000	0.12	0.18	0.71	8	8	2	1.109	0.73	1.35	9.38	4.08	0.54	3	3.9	7.54	252	163	36.6	144.24	95.94	15.999	41.4	324.8	0	7.1	28	0.444	8.2
MgMoO4	79100	0.17	0.17	0.67	6	6	2	0.72	0.59	1.35	3.18	4.08	0.54	8.3	3.9	7.54	121	163	36.6	24.305	95.94	15.999	44.7	324.8	0	8.9	28	0.444	7.1
TiP2O7	77000	0.1	0.2	0.7	4	6	2	0.42	0.38	1.35	4.49	1.34	0.54	3.45	5.62	7.54	571	229	36.6	47.88	30.974	15.999	120.2	0	0	18.8	2.51	0.444	11
LaBO3	76900	0.2	0.2	0.6	9	3	2	1.216	0.01	1.35	8.68	1.51	0.54	3.1	4.29	7.54	202	7.38	36.6	138.906	10.811	15.999	37.9	0	0	10	23.6	0.444	11.8
CaWO4	75000	0.17	0.17	0.67	8	6	2	1.12	0.6	1.35	6.22	2.4	0.54	2.2	4.4	7.54	468	458	36.6	40.078	183.85	15.999	19.6	411	0	8.6	35	0.444	8.7
YbPO4	71600	0.17	0.17	0.67	8	4	2	0.985	0.17	1.35	7.26	1.34	0.54	3.5	5.62	7.54	401	229	36.6	173.04	30.974	15.999	23.9	0	0	9.2	2.51	0.444	8.2
BiSbO4	70000	0.17	0.17	0.67	8	6	2	1.17	0.6	1.35	4.04	2.37	0.54	4.69	4.85	7.54	596	288	36.6	208.98	121.75	15.999	34	54.7	0	10.9	39.7	0.444	19.3
CePO4	68500	0.17	0.17	0.67	8	4	2	1.143	0.17	1.35	10.35	1.34	0.54	3	5.62	7.54	219	229	36.6	140.115	30.974	15.999	33.5	0	0	8.9	2.51	0.444	11.1
LaAlO3	68000	0.2	0.2	0.6	12	6	2	1.36	0.535	1.35	8.68	5.23	0.54	3.1	3.23	7.54	202	152	36.6	138.906	26.982	15.999	37.9	70.6	0	10	10.5	0.444	23.4
YPO4	67900	0.17	0.17	0.67	8	4	2	1.019	0.17	1.35	5.57	1.34	0.54	3.19	5.62	7.54	396	229	36.6	88.906	30.974	15.999	66.3	0	0	11.5	2.51	0.444	8
Zn2Te3O8	66000	0.15	0.23	0.62	6	4	2	0.74	0.66	1.35	2.24	2.22	0.54	4.45	5.49	7.54	189	707	36.6	65.39	127.6	15.999	104.5	47.1	0	7.28	34.98	0.444	16.2
SmAlO3	65000	0.2	0.2	0.6	9	6	2	1.132	0.535	1.35	8.62	5.23	0.54	3.1	3.23	7.54	284	152	36.6	150.36	26.982	15.999	49.7	70.6	0	10.9	10.5	0.444	20.4
LaPO4	64500	0.17	0.17	0.67	8	4	2	1.16	0.17	1.35	8.68	1.34	0.54	3.1	5.62	7.54	202	229	36.6	138.906	30.974	15.999	37.9	0	0	10	2.51	0.444	10.4
