formula	Tf	Ax	Bx	Cx	Acn	Bcn	Ccn	Av	Bv	Cv	Air	Bir	Cir	Aav	Bav	Cav	Aced	Bced	Cced	Acp	Bcp	Ccp	Amac	Bmac	Cmac	Aap	Bap	Cap	Aen	Ben	Cen	DK
Ba5Nb4O15	78	0.21	0.17	0.62	12	6	2	2	5	-2	1.61	0.64	1.35	6.299	1.807	1.736	1.44	0.95	0.85	2.32	4.05	0	461	441	36.6	11.07	4.45	0.54	0.9	1.6	3.5	40
Nd4Ti9O24	65	0.11	0.24	0.65	9	6	2	3	4	-2	1.163	0.605	1.35	3.418	1.764	1.736	1.17	0.91	0.85	3.19	3.8	0	252	571	36.6	9.38	4.49	0.54	1.05	1.5	3.5	37.5
Nd2Ti4O11	60	0.12	0.24	0.65	8	6	2	3	4	-2	1.109	0.605	1.35	3.418	1.764	1.736	1.17	0.91	0.85	3.19	3.8	0	252	571	36.6	9.38	4.49	0.54	1.05	1.5	3.5	39.3
ZrTiO4	58	0.17	0.17	0.67	8	6	2	4	4	-2	0.84	0.605	1.35	2.328	1.764	1.736	0.98	0.91	0.85	3.45	3.8	0	419	571	36.6	4.63	4.49	0.54	1.4	1.5	3.5	42
Sr5Nb4O15	55	0.21	0.17	0.62	12	6	2	2	5	-2	1.44	0.64	1.35	5.632	1.807	1.736	1.39	0.95	0.85	2.4	4.05	0	373	441	36.6	7.6	4.45	0.54	1	1.6	3.5	40
Ca3Ti2O7	50	0.25	0.17	0.58	10	6	2	2	4	-2	1.23	0.605	1.35	4.633	1.764	1.736	1.25	0.91	0.85	2.55	3.8	0	468	571	36.6	6.22	4.49	0.54	1	1.5	3.5	46
Ba3V2O8	42	0.23	0.15	0.62	12	4	2	2	5	-2	1.61	0.355	1.35	6.299	1.392	1.736	1.44	0.86	0.85	2.32	4.25	0	461	68.4	36.6	11.07	4.48	0.54	0.9	1.6	3.5	12.3
BaTi5O11	40	0.06	0.29	0.65	12	6	2	2	4	-2	1.61	0.605	1.35	6.299	1.764	1.736	1.44	0.91	0.85	2.32	3.8	0	461	571	36.6	11.07	4.49	0.54	0.9	1.5	3.5	42
Li2TiO3	39	0.33	0.17	0.5	6	6	2	1	4	-2	0.76	0.605	1.35	2.162	1.764	1.736	1.75	0.91	0.85	2.85	3.8	0	1.96	571	36.6	9.1	4.49	0.54	1	1.5	3.5	19.8
Li2ZrO3	39	0.33	0.17	0.5	6	6	2	1	4	-2	0.76	0.72	1.35	2.162	2.328	1.736	1.75	0.98	0.85	2.85	3.45	0	1.96	419	36.6	9.1	4.63	0.54	1	1.4	3.5	14.1
BiNbO4	38	0.17	0.17	0.67	8	6	2	3	5	-2	1.17	0.64	1.35	3.538	1.807	1.736	1.38	0.95	0.85	4.15	4.05	0	596	441	36.6	4.04	4.45	0.54	1.9	1.6	3.5	43
NiTa2O6	35	0.11	0.22	0.67	6	6	2	2	5	-2	0.69	0.64	1.35	1.093	1.801	1.736	1.13	0.95	0.85	5.2	4.05	0	144	444	36.6	3.12	2.47	0.54	1.9	1.5	3.5	25
Bi2Mo2O9	31	0.15	0.15	0.69	8	8	2	1	6	-2	1.17	0.73	1.35	3.538	1.558	1.736	1.38	0.9	0.85	4.15	4.65	0	596	163	36.6	4.04	4.08	0.54	1.9	1.8	3.5	38
MgTa2O6	29	0.11	0.22	0.67	6	8	2	2	5	-2	0.72	0.74	1.35	2.324	1.801	1.736	1.09	0.95	0.85	3.45	4.05	0	121	444	36.6	3.18	2.47	0.54	1.2	1.5	3.5	30.6
Li2SnO3	27	0.33	0.17	0.5	6	6	2	1	4	-2	0.76	0.69	1.35	2.162	2.705	1.736	1.75	1.41	0.85	2.85	4.15	0	1.96	662	36.6	9.1	3.02	0.54	1	1.8	3.5	12.8
CoTa2O6	23	0.11	0.22	0.67	6	6	2	2	5	-2	0.7	0.64	1.35	1.108	1.801	1.736	0.71	0.95	0.85	5.1	4.05	0	125	444	36.6	3.01	2.47	0.54	1.9	1.5	3.5	29
Ba3(VO4)2	17	0.23	0.15	0.62	12	4	2	2	5	-2	1.61	0.355	1.35	6.299	1.392	1.736	1.44	0.86	0.85	2.32	4.25	0	461	68.4	36.6	11.07	4.48	0.54	0.9	1.6	3.5	13
